designation,ra,dec,sigra,sigdec,sigradec,glon,glat,elon,elat,wx,wy,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,satnum,ra_pm,dec_pm,sigra_pm,sigdec_pm,sigradec_pm,pmra,sigpmra,pmdec,sigpmdec,w1rchi2_pm,w2rchi2_pm,w3rchi2_pm,w4rchi2_pm,rchi2_pm,pmcode,cc_flags,ext_flg,var_flg,ph_qual,det_bit,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,w1cov,w2cov,w3cov,w4cov,tmass_key,r_2mass,pa_2mass,n_2mass,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,Sel1,Sel2,Sel3,Sel4,Sel5,w1-w2,H-K,J-H
J184110.94+080845.6,280.2956168,8.1460182,0.0868,0.0894,-0.0166,39.045122,5.9708648,281.9321014,31.1598445,3038.926,3550.713,14.658,0.035,31,2.21,15.266,0.096,11.3,1.25,12.63,,-0.5,0.824,9.278,,-0.8,1.04,1.45,1,0,0,0,0,0,0,280.2956122,8.1460195,0.1014,0.1042,-0.0171,-108,211,25,227,2.21,1.25,0.824,1.04,1.45,1N000,0,0,10nn,AAUU,3,11,28,28,12,29,0,15,0,16,31.297,31.549,16.012,15.885,965931244,0.126,3.6,1,15.856,0.096,15.365,0.133,14.31,,1.791,-0.419,-1.8866,-3.203,0.336,-0.608,1.055,1.546
J184149.31+080151.2,280.4554728,8.0309146,0.1407,0.2065,0.037,39.013031,5.7777901,282.1050321,31.0319038,2624.787,3249.075,14.862,0.074,14.7,1.94,15.068,0.124,8.8,1.13,12.134,0.538,2,0.904,8.777,,0.5,0.859,1.31,1,0,0,0,0,0.003,0,280.4555222,8.0309216,0.1795,0.1535,-0.1095,848,369,-213,315,1.94,1.12,0.903,0.859,1.3,1N007,ddHH,0,0nnn,ABCU,7,11,26,28,7,28,0,15,0,15,29.683,29.647,15.965,15.669,965991961,1.99,46.2,1,15.815,0.114,15.507,0.154,14.704,,-0.269571429,-0.546,-1.6536,-2.7592,0.634,-0.206,0.803,1.111
J184119.56+081259.3,280.3315137,8.2164829,0.1493,0.1541,-0.023,39.1244684,5.9706796,281.9803519,31.2271065,2945.733,3735.115,14.761,0.059,18.3,2.01,14.807,0.094,11.5,1.02,12.028,,1.3,0.83,9.073,0.535,2,0.881,1.27,1,0,0,0.001,0,0,0,280.3315187,8.2164606,0.2069,0.2004,0.0354,65,322,-519,321,2.01,1.02,0.83,0.881,1.27,3N001,0h00,0,10nn,AAUC,11,11,29,29,20,29,0,17,0,17,29.528,29.896,16.922,16.733,965931775,1.379,-133.7,1,15.884,0.118,15.544,0.167,14.352,,0.171714286,-0.168,-1.6675,-2.4805,0.479,-0.046,1.192,1.532
J184042.43+075955.0,280.176798,7.9986137,0.113,0.1218,-0.0147,38.8596126,6.009963,281.7809852,31.0226539,3347.341,3165.11,14.64,0.051,21.3,2.22,14.655,0.065,16.7,1.04,11.201,0.144,7.5,0.97,8.921,0.432,2.5,1.01,1.39,3,0,0.001,0,0,0,0,280.1767741,7.9986297,0.3636,0.3906,0.1741,-354,565,263,615,2.21,1.04,0.97,1.01,1.39,3N001,0,0,21nn,AABC,15,11,28,29,25,29,3,17,0,17,29.583,29.822,16.921,16.856,1059001920,1.435,145.8,1,16.007,0.104,15.557,0.154,14.574,,0.398285714,0.328,-1.0322,-2.514,1.154,-0.015,0.983,1.433
J184151.40+081258.9,280.4641879,8.2163787,0.2217,0.2534,-0.0358,39.1835469,5.8532501,282.1333509,31.215979,2601.938,3734.62,15.779,0.081,13.5,3.75,15.868,0.202,5.4,1.55,12.166,,1,0.915,9.079,,-0.8,1.16,2.1,1,0,0,0,0,0,0,280.4640679,8.2150538,0.3673,0.3142,0.064,-1176,1386,-15971,965,3.35,1.57,0.915,1.16,1.97,1N117,dH00,1,2nnn,ABUU,3,11,16,29,5,29,0,15,0,15,30.601,30.66,16.225,16.174,965990539,2.864,-7.8,1,16.418,0.141,15.946,0.182,14.778,,-2.254,-1.308,-1.7902,-3.317,1.402,-0.089,1.168,1.64
J184035.01+081259.6,280.1459043,8.2165557,0.1222,0.1273,-0.0351,39.0417758,6.1349513,281.7662486,31.2423697,3426.689,3735.791,14.795,0.047,23.2,2.84,15.074,0.117,9.3,0.938,12.718,,-3.6,0.943,9.029,,-0.8,0.873,1.53,1,0,0,0.002,0,0,900,280.1459215,8.2165447,0.1289,0.1331,-0.0362,550,254,-400,270,2.83,0.939,0.943,0.873,1.52,1N001,0hHD,0,21nn,ABUU,3,11,27,28,11,28,0,15,0,15,27.44,27.874,14.935,14.874,508012590,1.314,57.1,1,16.204,0.112,15.775,0.17,14.922,,0.044714286,-0.3075,-2.3926,-3.033,0.056,-0.279,0.853,1.282
J184040.10+075931.1,280.167104,7.9919731,0.2984,0.3535,-0.1173,38.849317,6.0155681,281.769186,31.0168225,3372.496,3147.753,15.707,0.104,10.4,1.35,16.357,,1.8,1.12,12.399,0.436,2.5,1.04,8.743,,0.9,0.961,1.15,1,0,0,0,0,0,0,280.167104,7.9919731,0.6165,0.6465,-0.2222,0,1035,0,1108,1.35,1.12,1.04,0.961,1.15,1N000,0,0,0nnn,AUCU,5,11,20,30,0,30,0,17,0,17,29.571,29.668,16.947,16.824,508014565,1.631,-160.5,1,16.191,0.096,15.783,0.159,15.01,,-0.295857143,-1.238,-1.7295,-2.7805,1.658,-0.65,0.773,1.181
J184127.76+081156.2,280.3657041,8.1989547,0.1652,0.1717,-0.0406,39.1239622,5.9325727,282.0180704,31.2068121,2857.172,3689.158,15.286,0.064,17,1.53,15.747,0.178,6.1,1.07,12.201,,1,1.04,9.14,,-1.1,1.02,1.21,1,0,0,0,0,0,0,280.365682,8.1989658,0.2009,0.2009,-0.0326,-654,415,354,434,1.52,1.07,1.04,1.02,1.21,1N001,0,0,1nnn,ABUU,3,11,27,29,7,29,0,13,0,14,30.458,30.663,15.388,16.282,965931632,0.326,-94.3,1,15.81,0.09,15.485,0.14,14.709,0.122,0.474,-0.762,-1.912,-3.24,1.246,-0.461,0.776,1.101
J184149.58+075953.4,280.4565905,7.9981736,0.1671,0.1833,-0.0389,38.9841193,5.7621133,282.103101,30.9991859,2621.936,3163.355,14.933,0.073,14.9,1.58,14.898,0.093,11.7,0.897,12.482,,0.1,0.951,9.198,,0.1,0.902,1.12,1,0,0,0,0,0,0,280.4566261,7.9981621,0.2044,0.2379,-0.0641,755,330,-235,377,1.58,0.894,0.951,0.902,1.12,1N000,0,0,21nn,AAUU,3,11,27,29,19,29,0,16,0,16,30.382,30.64,15.944,15.922,965992221,0.438,-161.7,1,15.98,0.141,15.578,0.161,14.694,,0.123,-0.0272,-1.9389,-2.882,0.116,0.035,0.884,1.286
J184148.79+080533.2,280.4532962,8.0925669,0.1092,0.1363,-0.0155,39.067445,5.8073691,282.1085896,31.0935184,2630.342,3410.489,14.548,0.048,22.6,2.16,14.713,0.082,13.2,1.14,11.953,,1.4,1.02,8.379,,1.2,0.991,1.43,2,1,0,0,0,0,0,,,,,,,,,,,,,,,,0h00,0,nnnn,AAUU,3,11,29,29,26,30,0,16,1,16,30.541,30.731,15.974,15.739,965991492,2.418,-168.8,1,16.293,0.173,15.734,,14.735,,0.639,-0.115,-1.848,-2.751,0.46,-0.165,0.999,1.558
