designation,ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,pmra,sigpmra,pmdec,sigpmdec,cc_flags,ext_flg,var_flg,ph_qual,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,tmass_key,r_2mass,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
J202311.59+404637.3,305.7983210,40.7770377,20h23m11.60s,40d46m37.34s,0.0533,0.0534,-0.0083,13.760,0.022,50.2,2.994E+00,14.591,0.058,18.8,3.794E+00,9.848,null,1.8,3.544E-01,4.608,null,1.4,2.449E-01,2,0,0.000,0.000,0.000,0.005,134,236,32,212,0hh0,1,55nn,AAUU,0000,49,49,21,49,2,19,1,19,305544351,0.734,15.744,0.072,14.725,0.069,14.188,null,7.678924,222.115035
J202310.60+404622.0,305.7941773,40.7727814,20h23m10.60s,40d46m22.01s,0.0371,0.0355,0.0083,9.970,0.021,52.8,3.691E+00,10.065,0.020,53.2,2.391E+00,9.509,null,0.1,7.352E-02,7.724,null,-18.8,3.274E+00,1,0,0.000,0.000,0.000,0.000,11,31,-302,31,0ddd,1,31nn,AAUU,0000,50,50,50,50,0,19,0,3,305544390,0.212,10.637,0.020,10.374,0.018,10.220,0.014,26.688480,218.043269
J202312.30+404615.2,305.8012566,40.7709093,20h23m12.30s,40d46m15.27s,0.0467,0.0462,-0.0035,12.883,0.025,43.5,4.565E+00,12.993,0.025,42.9,2.088E+00,9.287,null,0.4,5.187E-02,4.787,0.115,9.4,4.053E+00,1,0,0.000,0.000,0.000,0.002,-116,60,-118,60,hDdd,1,3nn2,AAUB,0000,50,50,50,50,0,19,17,19,305544406,0.406,13.542,0.022,13.163,0.027,12.906,0.030,27.904776,174.130915
J202309.55+404625.5,305.7898304,40.7737775,20h23m09.56s,40d46m25.60s,0.0450,0.0433,0.0063,11.186,0.024,44.6,4.045E+01,11.236,0.024,44.5,1.447E+01,9.791,null,-0.5,9.312E-02,4.422,null,-0.9,1.070E-01,1,0,0.000,0.000,0.000,0.000,226,39,158,38,dddd,1,43nn,AAUU,0000,50,50,50,50,0,19,0,5,305544382,1.061,13.444,0.026,12.226,0.030,11.806,0.022,33.235494,238.366809
J202311.06+404715.4,305.7960957,40.7876123,20h23m11.06s,40d47m15.40s,0.0726,0.0725,-0.0118,11.868,0.034,32.3,3.028E+00,11.986,0.041,26.6,1.818E+00,9.777,0.201,5.4,6.924E-01,5.656,0.523,2.1,2.184E-01,1,0,0.000,0.000,0.000,0.000,34,54,-43,55,0hh0,1,463n,AABC,0000,50,50,50,50,14,19,2,19,305544255,0.281,12.602,0.023,12.242,0.024,12.090,0.023,34.259922,340.893187
J202308.82+404641.9,305.7867506,40.7783242,20h23m08.82s,40d46m41.97s,0.0397,0.0379,0.0090,10.785,0.023,47.2,4.186E+00,10.828,0.021,51.3,2.578E+00,9.541,0.298,3.6,2.638E-01,4.313,null,0.7,1.060E-01,1,0,0.001,0.000,0.000,0.000,19,44,20,48,hhd0,1,231n,AABU,0000,51,51,51,51,15,19,0,19,305544337,0.154,11.486,0.020,11.160,0.018,10.973,0.016,36.706660,268.341981
J202315.33+404646.1,305.8138822,40.7794990,20h23m15.33s,40d46m46.20s,0.0409,0.0395,0.0076,11.960,0.024,44.7,1.990E+01,12.191,0.020,54.1,8.276E+00,10.575,null,0.4,3.275E-01,5.781,0.098,11.0,2.713E+00,1,0,0.000,0.000,0.000,0.000,38,57,-103,56,hhdd,1,44n1,AAUA,0000,49,49,49,49,0,19,17,19,305544328,1.126,12.658,0.030,12.340,0.031,12.190,0.026,37.405079,85.142619
J202314.32+404614.8,305.8096979,40.7707987,20h23m14.33s,40d46m14.88s,0.0372,0.0352,0.0080,10.948,0.022,48.6,1.962E+01,11.007,0.019,56.1,8.175E+00,9.656,null,1.2,1.466E-01,3.674,0.103,10.5,2.264E+00,1,0,0.000,0.000,0.000,0.000,-107,35,254,34,hhhd,1,43n1,AAUA,0000,50,50,50,50,1,19,19,19,305544407,0.871,11.694,0.023,11.354,0.023,11.219,0.018,38.234200,137.424798
J202315.47+404629.7,305.8144663,40.7749170,20h23m15.47s,40d46m29.70s,0.1588,0.2302,-0.0841,17.885,null,0.6,7.631E+00,16.841,null,-19.7,3.889E+00,9.592,null,0.2,9.354E-02,4.564,0.111,9.8,2.351E+00,2,0,0.000,0.000,0.000,0.000,-523,484,-26,598,HHd0,1,nnn0,UUUB,0000,13,50,0,50,0,19,19,19,null,null,null,null,null,null,null,null,41.087323,108.927628
J202313.25+404725.2,305.8052139,40.7903582,20h23m13.25s,40d47m25.29s,0.0651,0.0649,-0.0123,11.605,0.032,34.1,1.390E+00,11.609,0.035,30.9,1.055E+00,8.981,0.088,12.3,1.464E+00,4.964,0.246,4.4,7.017E-01,1,0,0.000,0.000,0.000,0.000,69,47,-86,47,dddd,0,4311,AAAB,0000,50,50,50,50,19,19,16,19,305544232,0.166,12.315,0.022,11.945,0.019,11.745,0.017,44.404280,17.887215
