designation,ra,dec,sigra,sigdec,sigradec,glon,glat,elon,elat,wx,wy,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,satnum,ra_pm,dec_pm,sigra_pm,sigdec_pm,sigradec_pm,pmra,sigpmra,pmdec,sigpmdec,w1rchi2_pm,w2rchi2_pm,w3rchi2_pm,w4rchi2_pm,rchi2_pm,pmcode,cc_flags,ext_flg,var_flg,ph_qual,det_bit,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,w1cov,w2cov,w3cov,w4cov,tmass_key,r_2mass,pa_2mass,n_2mass,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,Sel1,Sel2,Sel3,Sel4,Sel5
J184125.13+080621.8,280.3547146,8.1060801,0.0495,0.0498,-0.0048,39.0355942,5.900665,281.9963292,31.115172,2885.845,3446.029,13.314,0.025,43.8,3.43E+00,13.548,0.03,35.6,1.35E+00,11.911,0.286,3.8,9.53E-01,8.731,0.386,2.8,1.03E+00,1.91E+00,1,0,0,0,0,0,0,280.3547144,8.1060839,0.0655,0.0618,0.0025,3,98,138,98,3.42E+00,1.35E+00,9.53E-01,1.03E+00,1.91E+00,3N000,0h00,1,10nn,AABC,15,11,29,29,29,29,1,15,0,15,29.892,30.434,16.433,16.513,965930941,0.511,49.1,1,14.656,0.049,13.792,0.037,13.585,0.061,2.399571429,1.91,-1.4778,-2.474,-0.663
J184054.15+080306.2,280.2256622,8.051742,0.0819,0.0872,-0.0125,38.9291735,5.9905224,281.8423694,31.0716236,3220.501,3304.066,14.029,0.037,29.7,1.66E+00,14.258,0.051,21.3,1.05E+00,12.087,null,0.9,8.16E-01,8.991,null,0.3,1.03E+00,1.20E+00,1,0,0,0,0,0,0,280.2256573,8.0517411,0.0906,0.095,-0.013,-137,138,-17,149,1.66E+00,1.04E+00,8.16E-01,1.03E+00,1.20E+00,1N000,0,0,21nn,AAUU,3,11,29,29,29,29,0,16,0,16,29.326,30.402,15.996,16.107,1059002374,0.241,26.2,1,14.586,0.029,14.111,0.056,14.033,0.052,2.150285714,0.785,-1.7038,-2.969,-0.129
J184103.87+080333.0,280.2661532,8.0591922,0.0945,0.0984,0.0107,38.9539382,5.9580234,281.8897362,31.0757364,3115.517,3323.467,14.019,0.043,25.1,2.52E+00,14.075,0.049,22.2,1.04E+00,12.534,0.474,2.3,8.38E-01,9.164,null,-0.1,9.02E-01,1.46E+00,1,0,0,0,0,0,0,280.2661431,8.0591808,0.1001,0.1083,-0.016,-299,149,-323,162,2.51E+00,1.04E+00,8.38E-01,9.02E-01,1.46E+00,1N000,0,0,10nn,AACU,7,11,28,28,28,28,0,15,0,15,29.289,29.637,15.961,15.276,1059002439,1.488,-151.8,2,15.137,0.057,14.622,0.081,14.482,0.092,0.634142857,0.885,-1.5505,-2.9224,-0.759
J184114.59+081146.2,280.3108187,8.1961766,0.0666,0.068,-0.0064,39.0969869,5.9798912,281.9545053,31.2085778,2999.407,3681.996,14.369,0.028,38.2,3.73E+00,14.562,0.049,22.1,1.26E+00,12.365,null,-1,8.79E-01,9.006,null,-0.3,9.39E-01,2.07E+00,2,0,0,0,0,0,0,280.3107445,8.1961923,0.0689,0.0702,-0.0079,303,160,119,163,3.70E+00,1.25E+00,8.78E-01,9.39E-01,2.05E+00,2Y030,0,1,31nn,AAUU,3,11,29,29,27,29,0,13,0,14,31.224,31.261,16.581,16.697,965931607,1.514,140.3,1,15.502,0.099,14.978,0.127,14.744,0.134,1.296571429,0.655,-2.0039,-2.9988,-0.103
J184052.48+080330.0,280.2186813,8.0583419,0.042,0.0404,-0.0011,38.9319908,5.9996594,281.8349618,31.0787707,3238.579,3321.364,11.397,0.023,46.5,3.46E+00,11.523,0.023,48.1,1.51E+00,11.589,0.202,5.4,9.67E-01,8.779,null,1,1.02E+00,1.95E+00,1,0,0,0,0,0,0,280.2186812,8.0583438,0.0447,0.0418,-0.0059,6,46,83,45,3.44E+00,1.52E+00,9.67E-01,1.02E+00,1.95E+00,1N000,0,1,11nn,AABU,7,11,29,29,29,29,5,16,0,16,28.629,28.716,15.995,15.87,1059002434,0.18,128.2,1,12.569,0.024,11.685,0.025,11.526,0.023,2.754285714,3.005,-1.2918,-2.82,-2.366
J184123.62+081248.3,280.3484515,8.2134303,0.0605,0.0645,-0.0394,39.1292781,5.9543252,281.9995892,31.2226649,2901.849,3727.088,12.097,0.035,31.2,2.11E+00,12.186,0.036,30.2,1.19E+00,11.905,null,1.3,9.44E-01,8.619,null,-0.3,9.93E-01,1.42E+00,2,1,0,0,0,0,0,280.3485852,8.2133086,0.0477,0.0451,-0.0193,-130,52,236,51,3.77E+00,1.46E+00,9.49E-01,9.94E-01,2.05E+00,1N067,0,0,nnnn,AAUU,3,11,31,31,31,31,0,16,0,16,30.626,31.046,16.078,16.023,965931757,0.615,-20.9,2,13.392,0.071,12.293,null,12.156,null,1.919571429,1.527,-1.7819,-3.053,-2.019
J184119.44+080810.7,280.3310319,8.1363133,0.0443,0.0437,-0.0029,39.052198,5.9351754,281.9719818,31.1472559,2947.162,3525.229,11.971,0.024,44.5,4.86E+00,12.028,0.024,45.2,1.97E+00,11.575,0.196,5.5,9.11E-01,8.55,null,1.1,8.98E-01,2.50E+00,1,0,0,0,0,0,0,280.3310317,8.1363197,0.0506,0.0501,-0.0144,-50,54,160,55,4.82E+00,1.98E+00,9.11E-01,8.98E-01,2.49E+00,1N001,hh00,1,00nn,AABU,7,11,30,30,30,30,1,17,0,17,29.551,29.739,16.981,16.797,965931172,0.461,57.5,1,12.648,0.032,12.318,0.032,12.201,0.026,1.066571429,2.253,-1.2238,-2.678,-1.847
J184143.92+080836.1,280.4330239,8.1433754,0.0754,0.0795,-0.0176,39.104048,5.8480915,282.0902286,31.1458366,2682.809,3543.537,13.564,0.036,30.5,1.01E+00,13.588,0.044,24.9,1.05E+00,12.722,null,-0.7,9.87E-01,9.192,null,-2.1,1.10E+00,1.03E+00,1,0,0,0,0,0,0,280.4330211,8.1433885,0.0773,0.0816,-0.0185,-115,102,411,111,9.92E-01,1.06E+00,9.87E-01,1.10E+00,1.03E+00,2N001,0hd0,0,00nn,AAUU,3,11,29,29,29,29,0,15,0,15,29.541,29.504,15.971,15.901,965991102,0.079,-80.6,1,14.426,0.032,13.888,0.028,13.561,0.046,2.916571429,1.136,-2.0743,-3.515,-1.434
J184052.09+080513.4,280.2170751,8.087067,0.4659,0.6065,0.2689,38.9570948,6.0139546,281.8358751,31.1075292,3242.657,3396.573,15.581,0.187,5.8,1.17E+00,16.4,null,0.3,1.23E+00,11.825,null,1.5,9.93E-01,9.192,null,-1,1.03E+00,1.13E+00,1,0,0,0,0,0,0,280.2169923,8.0870454,0.7338,0.4912,-0.405,-1504,1174,-426,755,1.16E+00,1.23E+00,9.93E-01,1.03E+00,1.13E+00,1N001,0H00,0,1nnn,BUUU,1,11,14,30,0,30,0,16,0,16,29.522,29.574,15.947,15.946,null,null,null,0,null,null,null,null,null,null,-0.767,-1.503,-1.8056,-3.233,2.275
J184132.64+080433.0,280.3860327,8.0758457,0.1185,0.123,-0.0205,39.0224019,5.8593939,282.0294604,31.0824507,2804.725,3366.815,14.773,0.049,22.1,1.10E+00,14.863,0.091,12,8.76E-01,11.849,null,1.9,9.04E-01,8.808,0.405,2.7,9.19E-01,9.58E-01,2,0,0,0,0,0,0,280.3860493,8.0758563,0.1642,0.1645,0.022,351,304,218,319,1.10E+00,8.75E-01,9.04E-01,9.19E-01,9.57E-01,3N000,0d00,0,10nn,AAUC,11,11,28,28,21,28,0,15,1,15,28.416,28.78,15.927,15.854,965930709,0.521,166.4,1,15.376,0.067,14.842,0.062,14.805,0.136,1.628571429,0.0238,-1.6665,-2.3793,0.714
